,Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride
0,90,45,2,2,13,4.47,3,1,90,284.25727302188227
1,58,39,1,2,72,4.06,1,0,43,173.87475274940766
2,42,31,0,2,0,3.99,0,1,76,329.7954689622466
3,89,28,0,1,67,4.31,0,1,134,470.2012317513198
4,78,22,0,1,74,3.77,0,0,149,579.6814223640141
5,59,35,2,2,83,3.51,3,0,128,339.9553606047221
6,93,43,1,1,44,4.41,0,1,16,104.06154127359152
7,62,39,0,0,83,3.59,0,1,47,235.81186355605
8,79,14,0,2,71,3.74,1,0,128,501.4125174833056
9,42,6,0,2,21,3.85,3,1,128,398.9933645706103
10,86,17,2,1,99,4.69,2,0,167,669.2986264658781
11,60,38,0,0,15,4.14,1,1,144,414.9901047325251
12,24,8,0,0,50,4.12,2,0,164,490.41072171830416
13,36,24,1,2,88,4.22,3,1,83,296.24287599192223
14,63,13,0,1,74,4.95,0,1,102,327.0888648717375
15,39,12,2,2,30,4.51,0,1,140,445.1368684239125
16,38,28,0,2,35,3.93,0,1,54,244.5361718306458
17,46,14,1,2,21,4.71,0,0,15,47.31430863361691
18,33,7,1,0,49,4.31,1,1,22,129.8082629093964
19,31,7,1,2,24,4.82,1,1,87,382.9481103198511
20,96,45,2,1,6,4.95,0,1,11,82.77279318243978
21,22,11,1,2,79,4.48,3,0,15,64.07117255500656
22,74,16,0,1,6,3.97,2,0,139,390.6687658288554
23,24,12,2,1,10,3.6,1,1,45,212.16652497375452
24,48,19,1,0,72,3.81,3,1,65,235.65813370551408
25,56,13,0,1,36,4.81,1,0,162,406.5574980533908
26,72,33,0,0,66,4.39,2,1,30,182.4744270596517
27,97,75,2,2,76,4.7,3,0,158,652.617297300081
28,62,33,1,1,39,3.91,1,1,129,403.22709836941993
29,57,38,1,2,54,4.1,3,1,131,537.7848594528473
30,25,7,1,2,13,3.99,2,1,81,286.13145256368455
31,75,56,1,0,94,4.79,1,1,153,485.0546633356366
32,39,9,2,0,39,4.64,0,1,48,171.0859835160851
33,35,24,1,0,73,3.76,1,1,105,485.8784537318511
34,68,32,1,1,34,3.58,2,0,77,294.7328864777875
35,96,43,0,2,97,3.68,2,1,91,392.83872040801793
36,28,11,1,0,52,4.33,0,1,94,456.1809467866996
37,25,15,0,0,65,4.88,1,1,101,502.5293207873477
38,28,6,1,1,2,4.29,2,0,89,244.21766165291973
39,73,17,0,1,14,4.81,1,1,170,634.7265312250814
40,36,18,2,2,88,3.73,3,1,92,345.40676830595487
41,56,10,2,2,55,4.5,3,0,45,151.15212964816465
42,97,81,1,1,52,4.56,1,0,125,530.7599938912294
